player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
1925873,Julimar Avila,F,Honduras,HON,2024,Summer,Paris,Swimming,Women's 200m Freestyle,No medal
1925883,Julio Horrego,M,Honduras,HON,2024,Summer,Paris,Swimming,Men's 200m Breaststroke,No medal
1925905,Amy Okonkwo,F,Nigeria,NGR,2024,Summer,Paris,Basketball,Women,No medal
1925942,Yohandri Granado,M,Venezuela,VEN,2024,Summer,Paris,Taekwondo,Men -58kg,No medal
1925944,Ifunanya Okoro,F,Nigeria,NGR,2024,Summer,Paris,Basketball,Women,No medal
1925951,Tomi Taiwo,F,Nigeria,NGR,2024,Summer,Paris,Basketball,Women,No medal
1925995,Avell Chitundu,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1925999,Barbra Banda,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926015,Grace Chanda,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926018,Misozi Zulu,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926035,Hellen Chanda,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926040,Kabange Mupopo,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926043,Lushomo Mweemba,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926046,Martha Tembo,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926050,Ngambo Musole,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926052,Pauline Zulu,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926054,Racheal Kundananji,F,Zambia,ZAM,2024,Summer,Paris,Football,Women,No medal
1926078,Mia Phiri,F,Zambia,ZAM,2024,Summer,Paris,Swimming,Women's 50m Freestyle,No medal
1926082,Damien Shamambo,M,Zambia,ZAM,2024,Summer,Paris,Swimming,Men's 50m Freestyle,No medal
1926101,Kemi Adekoya,F,Bahrain,BRN,2024,Summer,Paris,Athletics,Women's 400m Hurdles,No medal
1926102,Winfred Yavi,F,Bahrain,BRN,2024,Summer,Paris,Athletics,Women's 3000m Steeplechase,Gold
1926104,Chebichii Chumba,F,Bahrain,BRN,2024,Summer,Paris,Athletics,Women's Marathon,No medal
1926111,Rose Chelimo,F,Bahrain,BRN,2024,Summer,Paris,Athletics,Women's Marathon,No medal
1926127,Birhanu Balew,M,Bahrain,BRN,2024,Summer,Paris,Athletics,"Men's 10,000m",No medal
1926127,Birhanu Balew,M,Bahrain,BRN,2024,Summer,Paris,Athletics,Men's 5000m,No medal
1926196,Tobi Amusan,F,Nigeria,NGR,2024,Summer,Paris,Athletics,Women's 100m Hurdles,No medal
1926201,Cornnell Enekwechi,M,Nigeria,NGR,2024,Summer,Paris,Athletics,Men's Shot Put,No medal
1926205,Chioma Onyekwere,F,Nigeria,NGR,2024,Summer,Paris,Athletics,Women's Discus Throw,No medal
1926236,Ruth Usoro,F,Nigeria,NGR,2024,Summer,Paris,Athletics,Women's Long Jump,No medal
1926293,Sinisuka Ginting,M,Indonesia,INA,2024,Summer,Paris,Badminton,Men's Singles,No medal
