team,country,total_medals
"ROMERO M / ARENAS L",Colombia,0
"HERRERA/MOJICA CHALARCA",Colombia,0
Cuba,Cuba,0
"Gonzalez / Molteni",Argentina,0
"Etcheverry / Navone",Argentina,0
"Carle / Podoroska",Argentina,0
"Podoroska / Gonzalez",Argentina,0
"STENSILS Linnea / WIKBERG Moa",Sweden,0
Uruguay,Uruguay,0
"TABELING Robin / PIEK Selena",Netherlands,0
"GRONBLOM Ronja / HOKKA Veera",Finland,0
"KURTBAY Sinem / KESKINEN Akseli",Finland,0
"LIU Hao / JI Bowen",China,0
"BU Tingkai / ZHANG Dong",China,0
"XU Shixiao / SUN Mengya",China,0
"YU Shimeng / CHEN Yule",China,0
"VAZ de BACELAR da FONSECA Diogo Eu. / ALVES da SILVA JOÃO Carolina Maria",Portugal,0
"MENG Guanliang / YANG Wenjun",China,0
"Hsieh / Tsao","Chinese Taipei",0
"Chan / Chan","Chinese Taipei",0
"Poland 1",Poland,0
"Poland 2",Poland,0
"PETERS Hermien / BROEKX Lize",Belgium,0
"United Arab Emirates","UA Emirates",0
"SPANAKI Ariadni Paraskevi / SPANAKIS Odysseas Emmanouil",Greece,0
Ghana,Ghana,0
"ALFIAN Fajar / ARDIANTO Muhammad Rian",Indonesia,0
"RAHAYU Apriyani / RAMADHANTI Siti Fadia Silva",Indonesia,0
"RIVALDY Rinov / MENTARI Pitha Haningtyas",Indonesia,0
Iraq,Iraq,0
Thailand,Thailand,0
"ECSEKI Nandor / MADARASZ Dora",Hungary,0
"RIBEIRO Joao / BAPTISTA Messias",Portugal,0
Mali,Mali,0
